업체명,모델명,연료,변속형식,차량형식,자동차 종류,도심주행연비,고속도로연비,CO2배출량(g_km),1회충전주행거리(km),배기량,등급,출시연도
현대,싼타페 2.2디젤 2WD 5인 20인치타이어,경유,자동,내연기관,승용차,12.5,15.3,139,,2151,3등급,2020
현대,싼타페 2.2디젤 2WD 5인 18인치타이어(빌트인캠),경유,자동,내연기관,승용차,12.7,15.8,136,,2151,2등급,2020
현대,싼타페 2.2디젤 AWD 5인 18인치타이어,경유,자동,내연기관,승용차,12.3,15.3,141,,2151,3등급,2020
현대,싼타페 2.2디젤 AWD 7인 20인치타이어,경유,자동,내연기관,승용차,11.7,14.4,149,,2151,3등급,2020
현대,싼타페 2.2디젤 AWD 7인 18인치타이어,경유,자동,내연기관,승용차,12,15.1,144,,2151,3등급,2020
현대,싼타페 2.2디젤 2WD 7인 20인치타이어,경유,자동,내연기관,승용차,12.5,15.3,139,,2151,3등급,2020
현대,싼타페 2.2디젤 2WD 7인 18인치타이어(빌트인캠),경유,자동,내연기관,승용차,12.7,15.8,136,,2151,2등급,2020
포르쉐,911 카레라 S 카브리올레,휘발유,자동,내연기관,승용차,7.4,9.8,210,,2981,5등급,2020
포르쉐,911 타르가 4S,휘발유,자동,내연기관,승용차,7.1,9.6,216,,2981,5등급,2020
포르쉐,911 카레라 4S,휘발유,자동,내연기관,승용차,7.1,9.6,216,,2981,5등급,2020
포르쉐,911 카레라 카브리올레,휘발유,자동,내연기관,승용차,7.6,10,204,,2981,5등급,2020
포르쉐,911 타르가 4,휘발유,자동,내연기관,승용차,7.3,9.6,213,,2981,5등급,2020
포르쉐,911 카레라 4 카브리올레,휘발유,자동,내연기관,승용차,7.3,9.6,213,,2981,5등급,2020
포르쉐,911 카레라 S,휘발유,자동,내연기관,승용차,7.4,9.8,210,,2981,5등급,2020
포르쉐,911 카레라 4S 카브리올레,휘발유,자동,내연기관,승용차,7.1,9.6,216,,2981,5등급,2020
포르쉐,911 카레라,휘발유,자동,내연기관,승용차,7.6,10,204,,2981,5등급,2020
포르쉐,911 카레라 4,휘발유,자동,내연기관,승용차,7.3,9.6,213,,2981,5등급,2020
포드,"Lincoln Nautilus 2.7 AWD (21"" wheel)",휘발유,자동,내연기관,승용차,7.6,11,192,,2694,5등급,2020
BMW,BMW X5 xDrive40d,경유,자동,하이브리드,승용차,9.4,11.3,191,,2993,4등급,2020
BMW,BMW X6 xDrive40d,경유,자동,하이브리드,승용차,9.5,11.9,185,,2993,4등급,2020
벤츠,Mercedes-Benz GLC 300 4MATIC ,휘발유,자동,내연기관,승용차,8.9,10.8,179,,1991,4등급,2020
현대,아반떼 1.6 T-GDI 6MT 18인치 타이어,휘발유,수동,내연기관,승용차,11.1,14,136,,1598,3등급,2020
현대,아반떼 1.6 T-GDI 7DCT 18인치 타이어,휘발유,자동,내연기관,승용차,11.5,14.7,130,,1598,3등급,2020
BMW,BMW X7 M50i,휘발유,자동,내연기관,승용차,5.8,7.6,265,,4395,5등급,2020
BMW,BMW X6 M50i,휘발유,자동,내연기관,승용차,6.2,8.1,247,,4395,5등급,2020
BMW,BMW X5 M50i,휘발유,자동,내연기관,승용차,5.9,7.7,260,,4395,5등급,2020
벤츠,벤츠 E 220 d Cabriolet,경유,자동,내연기관,승용차,12.6,14.5,142,,1950,3등급,2020
PSA Automobiles,Peugeot 2008 1.5 BlueHDi,경유,자동,내연기관,승용차,15.7,19,109,,1499,1등급,2020
BMW,BMW 330e,전기+휘발유,자동,PHEV,승용차,15.3,18.8,34,40,1998,PHEV,2020
현대,벨로스터 N 2.0T-GDI (PP)_21MY,휘발유,수동,내연기관,승용차,9.5,11.9,162,,1998,4등급,2020
현대,벨로스터 N 2.0T-GDI (STD)_21MY,휘발유,수동,내연기관,승용차,9.7,12.1,159,,1998,4등급,2020
BMW,BMW X4 M40i,휘발유,자동,내연기관,승용차,7.8,10.1,195,,2998,5등급,2020
BMW,BMW X3 M40i,휘발유,자동,내연기관,승용차,7.8,10.1,196,,2998,5등급,2020
GM,캐딜락 CT5 2.0T,휘발유,자동,내연기관,승용차,8.7,12.7,170,,1998,4등급,2020
현대,쏘나타(DN8) 2.5 T-GDI_19인치타이어(빌트인캠),휘발유,자동,내연기관,승용차,9.4,13.5,155,,2497,4등급,2020
